Наименование муниципального образования;2019;2020;2021;2022;2023;2024
  г. Орел;47366;47874;47498;47134;48832;48121
  г. Ливны;7474;7566;7602;7631;7001;6854
  г. Мценск;5514;5496;5416;5317;5047;4906
  Орловский муниципальный район;12197;12353;12386;12432;13613;13403
  Болховский муниципальный район;3327;3364;3349;3324;2815;2749
  Верховский муниципальный район;2645;2734;2760;2762;2524;2456
  Глазуновский муниципальный район;1943;1970;2026;2037;1883;1849
  Дмитровский муниципальный район;1749;1758;1794;1756;1713;1697
  Должанский муниципальный район;1806;1757;1739;1741;1503;1479
  Залегощенский муниципальный район;2619;2669;2744;2732;2194;2231
  Знаменский муниципальный район;755;774;794;829;703;716
  Колпнянский муниципальный район;1961;1957;1960;1950;1767;1719
  Краснозоренский муниципальный район;897;886;900;859;860;852
  Кромской муниципальный район;3346;3449;3553;3649;3526;3568
  Корсаковский муниципальный район;701;699;710;700;689;674
  Ливенский муниципальный район;4720;4657;4579;4499;4376;4331
  Малоархангельский муниципальный район;1793;1793;1771;1756;1624;1598
  Мценский муниципальный район;3444;3423;3401;3312;2996;2960
  Новодеревеньковский муниципальный район;1564;1585;1572;1565;1447;1477
  Новосильский муниципальный район;1348;1377;1386;1395;1291;1264
  Покровский муниципальный район;2237;2196;2193;2169;1972;1967
  Свердловский муниципальный район;2596;2665;2674;2655;2446;2469
  Сосковский муниципальный район;803;803;782;762;755;725
  Троснянский муниципальный район;1396;1359;1362;1345;1408;1413
  Урицкий муниципальный район;3415;3509;3551;3636;3180;3237
  Хотынецкий муниципальный район;1731;1823;1882;1874;1435;1420
  Шаблыкинский муниципальный район;1054;1027;1012;981;882;887
